prompt,completion
"What is the special attack of the Templar?","Axe (200% damage)"
"How much HP does the Templar have?","205"
"What rage can be learned from the Templar?","Fira"
"What sketch can be drawn from the Templar?","Attack (3/4), Axe (1/4)"
"What abilities can be used while controlling the Templar?","Attack, Axe"
"What is the Satellite known as on the SNES?","Telstar"
"What is the weakness of the Satellite?","Slow, Stop"
"Where is the Satellite located?","Imperial Camp (Monster-in-a-Box)"
"What does the Satellite drop?","Green Beret (Always)"
"What can be stolen from the Satellite?","X-Potion (1/8)"
"What is the special attack of the Satellite?","Supersonic Wave (inflicts 'Confusion')"
"What status effects does the Satellite resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"How much HP does the Satellite have?","1800"
"What rage can be learned from the Satellite?","Sonic Boom"
"What sketch can be drawn from the Satellite?","Magitek Laser (3/4), Launcher (1/4)"
"What abilities can be used while controlling the Satellite?","Attack, Magitek Laser, Fireball"
"What is the weakness of the Ghost?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Ghost located?","Phantom Forest"
"What does the Ghost drop?","Potion (1/8)"
"What can be stolen from the Ghost?","Potion (Always)"
"What type of monster is the Ghost?","Undead"
"What is the special attack of the Ghost?","Time Freeze (inflicts 'Stop')"
"What status effects does the Ghost resist?","Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk"
"What status effects does the Ghost absorb?","Poison"
"How much HP does the Ghost have?","226"
"What rage can be learned from the Ghost?","Thundara"
"What sketch can be drawn from the Ghost?","Banish (3/4), Fire (1/4)"
"What abilities can be used while controlling the Ghost?","Attack, Fire"
"What is the weakness of the Poplium?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Poplium located?","Phantom Forest"
"What does the Poplium drop?","Potion (1/8)"
"What can be stolen from the Poplium?","Hi-Potion (1/8)"
"What type of monster is the Poplium?","Undead"
"What is the special attack of the Poplium?","Cling (inflicts 'Slow')"
"What status effects does the Poplium resist?","Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk"
"What status effects does the Poplium absorb?","Poison"
"How much HP does the Poplium have?","145"
"What rage can be learned from the Poplium?","Cling"
"What sketch can be drawn from the Poplium?","Attack (3/4), Slow (1/4)"
"What abilities can be used while controlling the Poplium?","Attack, Slow"
"What is the Cloud known as on the SNES?","Hazer"
"What is the weakness of the Cloud?","Darkness, Poison, MagiTek, Invisible, Petrify, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Cloud located?","Phantom Train"
"What does the Cloud drop?","Potion (1/8)"
"What can be stolen from the Cloud?","Hi-Potion (1/8)"
"What type of monster is the Cloud?","Humanoid"
"What is the special attack of the Cloud?","Unseen Strike (200% damage)"
"What status effects does the Cloud resist?","Zombie, Imp, Death, Doom"
"How much HP does the Cloud have?","120"
"What rage can be learned from the Cloud?","Thundara"
"What sketch can be drawn from the Cloud?","Attack (3/4), Drain (1/4)"
"What abilities can be used while controlling the Cloud?","Attack, Drain, Fire"
"What is the Angel Whisper known as on the SNES?","Whisper"
"What is the weakness of the Angel Whisper?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Angel Whisper located?","Phantom Train"
"What does the Angel Whisper drop?","Gold Needle (1/8)"
"What can be stolen from the Angel Whisper?","Hi-Potion (1/8)"
"What type of monster is the Angel Whisper?","Undead"
"What is the special attack of the Angel Whisper?","Impmare (inflicts 'Imp')"
"What status effects does the Angel Whisper resist?","Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk"
"What status effects does the Angel Whisper absorb?","Poison"
"How much HP does the Angel Whisper have?","230"
"What rage can be learned from the Angel Whisper?","Gravity"
"What sketch can be drawn from the Angel Whisper?","Gravity (3/4), Graviga (1/4)"
"What abilities can be used while controlling the Angel Whisper?","Attack, Fire, Gravity"
"What is the Oversoul known as on the SNES?","Over-Mind"
"What is the weakness of the Oversoul?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Oversoul located?","Phantom Train (Only after you detach part of the train)"
"What does the Oversoul drop?","Green Cherry (7/8), Holy Water (1/8)"
"What can be stolen from the Oversoul?","Hi-Potion (1/8)"
"What type of monster is the Oversoul?","Undead"
"What is the special attack of the Oversoul?","Insanitouch (inflicts 'Confusion')"
"What status effects does the Oversoul resist?","Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk"
"What status effects does the Oversoul absorb?","Poison"
"How much HP does the Oversoul have?","390"
"What rage can be learned from the Oversoul?","Will o' the Wisp"
"What sketch can be drawn from the Oversoul?","Attack (3/4), Dread Gaze (1/4)"
"What abilities can be used while controlling the Oversoul?","Attack, Dread Gaze"
"What is the weakness of the Bomb?","MagiTek, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Bomb located?","Phantom Train Forest to the West of Veldt"
"What does the Bomb drop?","Hi-Potion (1/8)"
"What can be stolen from the Bomb?","Potion (7/8), Hi-Potion (1/8)"
"What is the special attack of the Bomb?","Hit (150% damage)"
"What status effects does the Bomb resist?","Darkness, Zombie, Poison, Imp, Petrify"
"What status effects does the Bomb absorb?","Fire"
"How much HP does the Bomb have?","160"
"What rage can be learned from the Bomb?","Blaze"
"What sketch can be drawn from the Bomb?","Blaze (3/4), Self-Destruct (1/4)"
"What abilities can be used while controlling the Bomb?","Attack, Self-Destruct, Blaze"
"What is the Living Dead known as on the SNES?","StillGoing"
"What is the weakness of the Living Dead?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Living Dead located?","Phantom Train"
"What does the Living Dead drop?","Hi-Potion (1/8)"
"What type of monster is the Living Dead?","Humanoid, Undead"
"What is the special attack of the Living Dead?","Sapping Touch (inflicts 'Sap')"
"What status effects does the Living Dead resist?","Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk"
"What status effects does the Living Dead absorb?","Poison"
"How much HP does the Living Dead have?","200"
"What rage can be learned from the Living Dead?","Osmose"
"What sketch can be drawn from the Living Dead?","Attack (3/4), Sapping Touch (1/4)"
"What abilities can be used while controlling the Living Dead?","Attack, Sapping Touch"
"What is the Apparition known as on the SNES?","Specter"
"What is the weakness of the Apparition?","Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Sap"
"Where is the Apparition located?","Phantom Train (Monster-in-a-Box)"
"What does the Apparition drop?","Hyper Wrist (Always)"
"What type of monster is the Apparition?","Undead"
"What is the special attack of the Apparition?","Lightning (200% damage)"
"What status effects does the Apparition resist?","Darkness, Imp, Berserk, Confusion, Sleep, Slow, Stop"
"What status effects does the Apparition absorb?","Poison"
"How much HP does the Apparition have?","1500"
"What sketch can be drawn from the Apparition?","Attack (3/4), Lightning (1/4)"
"What abilities can be used while controlling the Apparition?","Attack, Lightning"
"What is the weakness of the Siegfried?","Slow, Stop"
"Where is the Siegfried located?","Phantom Train (Approach the chest in the cart after the dining car)"
"What does the Siegfried drop?","Green Cherry (Always)"
"What is the special attack of the Siegfried?","Hit (150% damage)"
"What status effects does the Siegfried resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"How much HP does the Siegfried have?","100"
"What sketch can be drawn from the Siegfried?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Siegfried?","Attack, Hit"
"What is the Opinicus Fish known as on the SNES?","Piranha"
"What is the weakness of the Opinicus Fish?","Darkness, MagiTek, Invisible, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Opinicus Fish located?","Baren Falls"
"What does the Opinicus Fish drop?","Potion (1/8)"
"What is the special attack of the Opinicus Fish?","Hit (150% damage)"
"What status effects does the Opinicus Fish resist?","Zombie, Poison, Imp, Petrify, Death"
"How much HP does the Opinicus Fish have?","10"
"What sketch can be drawn from the Opinicus Fish?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Opinicus Fish?","Attack, Hit"
"What is the weakness of the Anguiform?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Anguiform located?","Serpent Trench"
"What does the Anguiform drop?","Phoenix Down (1/8)"
"What can be stolen from the Anguiform?","Hi-Potion (1/8)"
"What is the special attack of the Anguiform?","Garrote (500% damage)"
"What status effects does the Anguiform resist?","Imp"
"What status effects does the Anguiform absorb?","Water"
"How much HP does the Anguiform have?","315"
"What rage can be learned from the Anguiform?","Aqua Breath"
"What sketch can be drawn from the Anguiform?","Aqua Breath (3/4), Garrote (1/4)"
"What abilities can be used while controlling the Anguiform?","Attack, Garrote, Aqua Breath"
"What is the Aspiran known as on the SNES?","Aspik"
"What is the weakness of the Aspiran?","Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Berserk, Sap, Slow, Stop"
"Where is the Aspiran located?","Serpent Trench"
"What does the Aspiran drop?","X-Potion (1/8)"
"What can be stolen from the Aspiran?","Potion (1/8)"
"What is the special attack of the Aspiran?","Numbspines (inflicts 'Stop')"
"What status effects does the Aspiran resist?","Darkness, Imp, Silence, Confusion, Sleep"
"What status effects does the Aspiran absorb?","Water"
"How much HP does the Aspiran have?","220"
"What rage can be learned from the Aspiran?","Gigavolt"
"What sketch can be drawn from the Aspiran?","Gigavolt (3/4), Numbspines (1/4)"
"What abilities can be used while controlling the Aspiran?","Attack, Numbspines, Gigavolt"
"What is the Actinian known as on the SNES?","Actaneon"
"What is the weakness of the Actinian?","Darkness, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Sap, Slow, Stop"
"Where is the Actinian located?","Serpent Trench"
"What can be stolen from the Actinian?","Hi-Potion (7/8)"
"What is the special attack of the Actinian?","Clamp (150% damage)"
"What status effects does the Actinian resist?","Zombie, Imp, Silence, Berserk, Confusion, Sleep"
"What status effects does the Actinian absorb?","Water"
"How much HP does the Actinian have?","230"
"What rage can be learned from the Actinian?","Clamp"
"What sketch can be drawn from the Actinian?","Aqua Breath (3/4), Clamp (1/4)"
"What abilities can be used while controlling the Actinian?","Attack, Clamp"
"What is the weakness of the Fidor?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Slow, Stop"
"Where is the Fidor located?","Narshe Cliffs (While protecting Bannon from Kefka)"
"What can be stolen from the Fidor?","Phoenix Down (7/8), Hi-Potion (1/8)"
"What is the special attack of the Fidor?","Pounce (200% damage)"
"What status effects does the Fidor resist?","Petrify, Sleep"
"How much HP does the Fidor have?","355"
"What rage can be learned from the Fidor?","Pounce"
"What sketch can be drawn from the Fidor?","Attack (3/4), Pounce (1/4)"
"What abilities can be used while controlling the Fidor?","Attack, Pounce"
"What is the Corporal known as on the SNES?","Trooper"
"What is the weakness of the Corporal?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Corporal located?","Narshe Cliffs (While protecting Bannon from Kefka)"
"What can be stolen from the Corporal?","Potion (7/8), Mythril Sword (1/8)"
"What type of monster is the Corporal?","Humanoid"
"What is the special attack of the Corporal?","Swing (200% damage)"
"How much HP does the Corporal have?","255"
"What rage can be learned from the Corporal?","Swing"
"What sketch can be drawn from the Corporal?","Attack (3/4), Swing (1/4)"
"What abilities can be used while controlling the Corporal?","Attack, Swing"
"What is the Hunting Hound known as on the SNES?","Bounty Man"
"What is the weakness of the Hunting Hound?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Hunting Hound located?","Narshe Cliffs (While protecting Bannon from Kefka)"
"What can be stolen from the Hunting Hound?","Hi-Potion (Always)"
"What is the special attack of the Hunting Hound?","Bite (150% damage)"
"How much HP does the Hunting Hound have?","285"
"What rage can be learned from the Hunting Hound?","Bite"
"What sketch can be drawn from the Hunting Hound?","Attack (3/4), Bite (1/4)"
"What abilities can be used while controlling the Hunting Hound?","Attack, Bite"
"What is the Fossil Dragon known as on the SNES?","FossilFang"
"What is the weakness of the Fossil Dragon?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Fossil Dragon located?","Desert near Kohlingen Desert near Albrook"
"What can be stolen from the Fossil Dragon?","Holy Water (7/8), Remedy (1/8)"
"What type of monster is the Fossil Dragon?","Undead"
"What is the special attack of the Fossil Dragon?","Bone (inflicts 'Zombie')"
"What status effects does the Fossil Dragon resist?","Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk"
"What status effects does the Fossil Dragon absorb?","Poison"
"How much HP does the Fossil Dragon have?","1399"
"What rage can be learned from the Fossil Dragon?","Sandstorm"
"What sketch can be drawn from the Fossil Dragon?","Sandstorm (3/4), Bone (1/4)"
"What abilities can be used while controlling the Fossil Dragon?","Attack, Bone, Sandstorm, Banish"
"What is the weakness of the Vulture?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Vulture located?","Grass/Forest around Kohlingen"
